-0.034468+0.3386i
-0.11117-0.097961i
0.16401+0.11299i
-0.48038+0.24212i
-0.77158-0.2591i
-0.92599-0.67113i
-0.84221-0.99388i
-0.38987-0.85798i
-0.36689-0.85776i
-0.87528-0.97056i
-0.90628-0.64039i
-0.74214-0.20902i
-0.39406+0.24733i
0.23411+0.075583i
-0.15883-0.1192i
-0.1671+0.36534i
-0.30697-0.10624i
0.070535-0.06258i
-0.13456+0.050828i
0.13716-0.58108i
1.2555-0.098779i
1.6187+0.70809i
1.6974+0.98942i
0.95578+1.4543i
0.92698+1.3769i
1.6379+0.86116i
1.5218+0.67183i
1.229-0.18258i
0.2554-0.47685i
-0.073936+0.064331i
0.1361-0.12739i
-0.39429-0.32703i
0.20491-0.36482i
-0.08081+0.27044i
-0.015691-0.22359i
0.28787+0.47515i
-1.3749+0.86305i
-2.8568-0.061392i
-3.2854-0.90234i
-2.8531-1.7122i
-2.5874-1.4437i
-2.6341-0.37558i
-2.9295-0.00024203i
-1.3842+0.90827i
0.23625+0.51131i
0.086172-0.13703i
-0.027814+0.21305i
0.22307-0.22213i
0.50347+0.053107i
-0.56042-0.092233i
0.5316-0.12844i
-0.60283+0.11306i
1.0442-2.1516i
4.9738-2.0717i
4.4255-0.36663i
5.0507+0.78733i
5.233+0.8695i
4.575-0.29526i
4.643-1.6397i
1.3586-1.9592i
-0.65679-0.10155i
0.91965+0.14522i
-0.36818-0.072939i
0.48243+0.17968i
0.82011+0.7335i
-0.65413-0.45854i
0.5437+0.46517i
-0.46391-0.56961i
3.5957+7.5858i
0.54387+25.711i
-9.5648+21.667i
-15.233+19.659i
-14.967+20.29i
-9.3051+21.827i
0.10982+25.162i
4.0034+7.1918i
-0.29459-0.31203i
0.58732+0.53317i
-0.63497-0.66006i
0.70982+0.80805i
0.27332+2.5554i
-0.48024-1.0917i
0.20167+0.56872i
1.62-1.2239i
-1.6231+18.72i
-31.858+40.963i
-44.625+20.475i
-52.228+10.481i
-52.247+9.6861i
-44.786+19.86i
-32.32+40.793i
-2.5233+18.694i
1.7752-1.0976i
0.10407+0.49764i
-0.2495-0.98464i
0.0062869+1.4961i
-0.67488+1.0789i
0.55391-1.36i
-0.047764+1.5911i
2.038-1.9494i
-13.786+22.074i
-66.934+32.433i
-68.472-4.9393i
-70.956-24.06i
-71.407-24.11i
-67.887-5.4605i
-66.114+31.747i
-13.645+21.182i
1.7809-0.92249i
-0.085254+1.7405i
0.56739-1.4339i
-1.2263+1.4951i
-0.93458+1.3378i
0.20394-1.2348i
-0.23385+1.2299i
2.5573-0.92558i
-23.917+21.4i
-81.886+16.107i
-72.631-24.045i
-74.885-45.729i
-74.81-45.843i
-72.643-24.529i
-81.776+15.742i
-22.871+19.698i
2.4167+0.16589i
-0.036113+1.1454i
0.35606-1.6085i
-1.4133+1.6493i
-1.7805+1.6543i
0.433-1.5773i
-0.078556+1.1067i
2.2818+0.2539i
-23.785+19.773i
-81.818+15.722i
-72.821-24.186i
-75.446-46.107i
-74.887-46.034i
-72.382-24.575i
-82.152+15.635i
-22.249+20.411i
2.8844-0.40889i
-0.20135+1.5251i
0.25652-1.3248i
-0.79815+1.4497i
-1.2211+1.3652i
0.43505-1.5104i
0.023852+1.3409i
1.4668-0.72486i
-13.275+21.661i
-66.397+32.203i
-67.832-5.823i
-71.331-24.137i
-71.158-23.968i
-67.524-5.8243i
-66.202+31.885i
-15.008+21.784i
1.3695-1.1146i
-0.03111+1.3077i
0.53084-1.4659i
-0.89161+1.4014i
