0.096401+0.11199i
-0.21961+0.14448i
-0.013442-0.28881i
0.409-0.070511i
0.15483+0.1659i
0.095469-0.027493i
-0.053474+0.095431i
-0.1631+0.024876i
0.085723+0.010852i
0.0051511+0.0055534i
-0.077966+0.19495i
-0.1011-0.0098629i
-0.28403+0.061587i
0.051183+0.34467i
0.17927-0.16936i
-0.11594-0.12838i
-0.17032+0.19458i
-0.11345-0.1469i
0.2316+0.048746i
-0.19727+0.40728i
-0.65861-0.12303i
-0.44909-0.392i
0.033465-0.10698i
-0.03918-0.38626i
-0.0027024+0.11946i
0.025689+0.04186i
0.056918-0.037642i
0.38457+0.079614i
0.18161-0.40662i
-0.29205-0.034136i
0.043849+0.13037i
0.20383-0.12363i
-0.20897-0.31592i
0.29975+0.12973i
-0.21692+0.19728i
-0.36812-0.43102i
0.72462-0.78233i
0.40659-0.064939i
0.25303+0.12847i
0.43414+0.22293i
-0.30788-0.13698i
-0.12295+0.064718i
-0.04555-0.044546i
-0.41692+0.76619i
0.25384+0.41647i
0.20526-0.15798i
-0.22855-0.11663i
0.16295+0.28483i
0.47421-0.41316i
-0.19484+0.7114i
-0.41107-0.64687i
0.85519+0.077629i
0.32309+0.75644i
0.31328+0.44319i
0.45716+1.2673i
-0.42172+1.1809i
0.83539-0.93717i
-0.57545-0.98716i
-0.45114+0.077649i
-0.40212-0.80012i
-0.8776-0.03553i
0.34159+0.68366i
0.17448-0.65137i
-0.46925+0.43179i
0.64039-0.066368i
-0.92356+0.45019i
0.41061-1.5658i
1.6451+2.0184i
-2.8604+1.133i
-0.54733-0.1062i
1.9217+1.6661i
-1.253-0.63408i
1.6957+0.39216i
-1.4943-1.5524i
0.98129+0.70833i
2.3277+0.29193i
-1.392-1.8906i
-0.22419+1.4361i
0.7848-0.568i
-0.59269+0.11983i
0.4391-0.05515i
-0.41652+0.16276i
0.34259-0.7937i
0.72339+1.2914i
-2.6547+1.2625i
-2.4287-0.23757i
2.9854-1.7097i
0.65043-2.2325i
-1.0308+2.4272i
-2.787+1.6968i
3.1005-0.39598i
2.7567-1.707i
-0.80521-1.3776i
-0.25779+0.72508i
0.36696-0.32678i
-0.40412+0.10566i
-0.075606+0.12905i
-0.070485-0.14555i
0.23853+0.1106i
-0.39768-0.56143i
-0.90402-0.53292i
-1.4138-1.5072i
3.5959-1.1656i
1.7434-0.80072i
-1.4197+0.71397i
-3.0036+0.43445i
1.0445+1.866i
2.0674+0.55407i
0.53509-0.33219i
-0.22646-0.20909i
0.085279+0.17905i
-0.040224-0.15787i
-0.18159+0.16742i
-0.079005-0.46645i
0.42065+0.087775i
-0.01648+0.052373i
-0.67255-0.63238i
-0.14326-0.77272i
1.0734+0.69847i
0.14517+0.31563i
-0.26765-0.5599i
-0.60134-0.71178i
-0.028949+1.016i
1.2318+0.42015i
0.16056-0.45165i
-0.50222-0.1261i
0.017313+0.45091i
0.2255-0.24494i
0.072803-0.2043i
0.054888+0.29527i
-0.49982-0.16287i
-0.013849-0.56528i
0.65076-0.037629i
0.24175+0.97859i
-0.89393-0.49192i
-0.44259-0.3295i
0.29609+0.45282i
0.56329+0.55838i
-0.22344-0.98355i
-1.0075+0.023927i
-0.10867+0.34334i
0.6112+0.16755i
-0.07492-0.40656i
-0.21723+0.22691i
0.020685-0.12945i
0.021364+0.17559i
-0.13408-0.1595i
0.36168-0.64503i
1.6927+0.63063i
1.1278+1.4495i
-3.022+0.57161i
-1.5501+0.49896i
1.5951-0.5436i
2.8902-0.45105i
-1.1581-1.4943i
-1.7752-0.071207i
-0.37709+0.60708i
0.19774-0.02465i
-0.16306-0.10209i
0.071717+0.16989i
-0.38603+0.10234i
0.33764-0.32026i
-0.25543+0.82136i
-0.42509-1.3103i
2.5549-1.0018i
2.5212+0.37714i
-2.9835+1.6051i
-1.1398+2.5324i
1.0206-2.5603i
2.706-1.4267i
-2.926-0.7319i
-2.6419+0.94375i
0.74043+1.2921i
0.21494-0.67306i
-0.39582+0.51565i
0.48648-0.04607i
-0.72159+0.042474i
0.82188-0.44242i
-0.40596+1.5208i
-1.6026-1.7172i
2.7776-1.4376i
0.62623+0.60995i
-1.8232-1.459i
1.4439+0.82264i
-1.644-0.88671i
1.6699+1.5431i
-0.98975-0.6143i
-2.7807+1.1911i
1.5557+1.9367i
0.37251-1.4087i
-0.83201+0.58245i
0.61598-0.050582i
-0.55341+0.41767i
0.20052-0.75214i
0.3335+0.66577i
-0.75392-0.035085i
-0.31746-0.50793i
-0.27632+0.25777i
-0.57075-1.0173i
0.55769-1.0716i
-0.4125+1.223i
1.0461+0.74105i
0.74015+0.48784i
0.28407+0.74188i
0.91696+0.030789i
-0.22849-0.73468i
-0.19497+0.72011i
0.49863-0.36541i
0.16339+0.31017i
-0.20017-0.10456i
0.10884-0.16543i
0.30335+0.31773i
-0.49358+0.74514i
-0.16458+0.037075i
-0.34867-0.077765i
-0.18656-0.19346i
0.32495+0.16245i
-0.067329-0.087645i
0.16687-0.11065i
0.24881-0.8442i
-0.27273-0.28903i
-0.21245+0.20131i
0.34041+0.12404i
-0.21031-0.39432i
0.1782-0.14159i
0.078538+0.094367i
-0.23977-0.0060559i
0.16367-0.44112i
0.5971+0.048443i
0.0059159+0.058403i
-0.0060353+0.13682i
-0.08326+0.15027i
-0.0074611-0.16525i
0.0022468+0.03731i
0.083624+0.10756i
-0.32528+0.046451i
-0.079921+0.46785i
0.25528+0.055873i
-0.0060296-0.14672i
-0.23173+0.20708i
-0.086354-0.074519i
0.061913-0.13379i
0.0057641+0.25915i
-0.40945+0.20425i
-0.2867-0.34072i
-0.12434-0.12802i
0.023431-0.38109i
0.11086+0.0095839i
-0.10349+0.1322i
0.0094859+0.060983i
0.27645+0.1848i
0.098017+0.079655i
0.3827-0.19203i
-0.17839-0.32236i
-0.1554+0.16786i
0.15886+0.10867i
