"Freq [GHz]","dB(S(1,1)) []"
2.091,-0.608186266875138
2.092,-0.609357150060297
2.093,-0.610537124560454
2.094,-0.611726293355967
2.095,-0.612924760841359
2.096,-0.61413263284803
2.097,-0.615350016667381
2.098,-0.616577021074368
2.099,-0.617813756351504
2.1,-0.619060334313299
2.101,-0.620316868331189
2.102,-0.621583473358893
2.103,-0.622860265958261
2.104,-0.624147364325656
2.105,-0.62544488831877
2.106,-0.626752959483983
2.107,-0.628071701084266
2.108,-0.629401238127556
2.109,-0.630741697395754
2.11,-0.632093207474198
2.111,-0.633455898781783
2.112,-0.634829903601587
2.113,-0.636215356112154
2.114,-0.637612392419346
2.115,-0.639021150588832
2.116,-0.640441770679184
2.117,-0.641874394775673
2.118,-0.643319167024661
2.119,-0.644776233668725
2.12,-0.64624574308243
2.121,-0.64772784580885
2.122,-0.649222694596784
2.123,-0.650730444438692
2.124,-0.652251252609449
2.125,-0.653785278705799
2.126,-0.655332684686658
2.127,-0.656893634914173
2.128,-0.658468296195664
2.129,-0.660056837826341
2.13,-0.661659431632956
2.131,-0.663276252018276
2.132,-0.664907476006519
2.133,-0.666553283289639
2.134,-0.668213856274648
2.135,-0.669889380131819
2.136,-0.671580042843939
2.137,-0.673286035256548
2.138,-0.675007551129196
2.139,-0.67674478718782
2.14,-0.678497943178137
2.141,-0.680267221920186
2.142,-0.682052829364
2.143,-0.683854974646428
2.144,-0.685673870149177
2.145,-0.687509731558029
2.146,-0.689362777923342
2.147,-0.691233231721802
2.148,-0.693121318919504
2.149,-0.695027269036368
2.15,-0.696951315211884
2.151,-0.698893694272341
2.152,-0.700854646799402
2.153,-0.702834417200218
2.154,-0.704833253779037
2.155,-0.706851408810293
2.156,-0.708889138613392
2.157,-0.710946703629001
2.158,-0.713024368497075
2.159,-0.715122402136557
2.16,-0.717241077826796
2.161,-0.719380673290794
2.162,-0.721541470780248
2.163,-0.723723757162482
2.164,-0.72592782400928
2.165,-0.728153967687718
2.166,-0.730402489452988
2.167,-0.732673695543277
2.168,-0.73496789727681
2.169,-0.737285411151016
2.17,-0.739626558943969
2.171,-0.741991667818047
2.172,-0.744381070426013
2.173,-0.746795105019432
2.174,-0.749234115559564
2.175,-0.751698451830809
2.176,-0.754188469556706
2.177,-0.756704530518611
2.178,-0.759247002677093
2.179,-0.761816260296103
2.18,-0.764412684070049
2.181,-0.767036661253778
2.182,-0.769688585795599
2.183,-0.772368858473371
2.184,-0.775077887033809
2.185,-0.777816086335006
2.186,-0.780583878492349
2.187,-0.783381693027825
