1.4457+1.1206i
-1.35-0.31336i
1.2474-0.36597i
-0.059801+1.3305i
-0.53656+0.0085706i
-0.25141+0.17277i
0.049648-0.60381i
0.45477-0.43376i
-0.48124+0.602i
-0.044835+0.82531i
0.31937-0.047242i
0.56662+0.090943i
0.099591-1.1988i
-1.1456+0.46301i
1.2439+0.64774i
-0.97258-1.4292i
-0.27548+1.8647i
-0.54171-1.0403i
0.27539+1.2401i
-1.6017-1.1682i
1.0489-1.9199i
0.34208+0.38397i
0.09559+0.45441i
-0.22828+1.1866i
0.12981-1.1893i
-0.052272-0.52304i
-0.33807-0.40111i
-1.4588+1.2097i
1.6087+1.1474i
-1.0361-1.1798i
0.36179+1.0256i
0.3645-1.6038i
-1.1369+0.32953i
0.12745-1.1305i
-0.36572+0.20787i
1.0649-1.3408i
0.90284+2.7694i
-1.8389-0.065883i
0.69105-1.3526i
-1.7743-0.60721i
1.6942+0.71083i
-0.53527+1.4205i
1.6154-0.020862i
-0.53599-2.9477i
-1.0087+1.0724i
0.28796-0.41939i
-0.45512+0.65048i
0.99368-0.20945i
-0.53705+0.82691i
0.28373-1.7857i
0.4733+0.98941i
-0.33162-0.02406i
-1.3767-0.3595i
-0.538-4.1623i
4.633+4.2798i
-1.2737-3.1081i
2.5584+5.3857i
-4.7176-5.2818i
0.07824+3.13i
2.0577+0.52377i
0.41812+0.069177i
-0.58889-1.0721i
-0.54767+1.573i
0.87533-1.1989i
-2.157+1.7213i
2.1038-3.3402i
-0.56532+4.2729i
-1.0219-4.5665i
11.168-0.88165i
1.9681+1.4538i
-8.0086+5.8735i
3.0635-2.3497i
-2.4511+2.3009i
8.8506-6.3936i
-2.2338-0.56005i
-10.467-2.9766i
1.6425+5.894i
0.3211-4.8042i
-2.5595+3.6711i
2.5088-1.5175i
-4.2988+0.81983i
5.6144-2.9327i
-4.3704+6.3511i
1.3643-10.07i
9.1483+17.113i
1.5735+3.638i
-14.009+2.7208i
10.351+2.9826i
-8.5625-2.2804i
17.279-4.4979i
-0.75539-2.5488i
-12.173-15.066i
-2.8668+11.519i
4.3729-6.5762i
-5.4703+3.2517i
5.0423-1.1743i
-5.2505-0.46796i
7.5353-0.99222i
-8.6816+4.5261i
6.4819-11.968i
6.1072+27.484i
0.89051+2.3163i
-19.511-1.6203i
10.713+9.5466i
-9.3745-7.9863i
24.855+2.6929i
-0.51083-1.5454i
-4.9839-27.985i
-10.839+10.298i
8.7098-4.6811i
-7.4099+1.054i
5.6273+0.76059i
-6.2386-3.1482i
9.8375+0.45444i
-12.396+2.8366i
13.68-8.3232i
-4.2709+32.901i
0.41338+2.971i
-24.14-6.947i
6.2996+9.5521i
-8.9287-11.748i
21.716+6.2753i
-0.61395-2.9165i
3.4634-32.954i
-13.236+8.5649i
11.498-3.6797i
-9.5633-0.85417i
6.0836+2.319i
-6.0272-3.087i
9.6183+0.61651i
-12.068+3.2691i
13.435-7.9505i
-3.5924+32.793i
0.754+3.2012i
-23.553-6.4789i
6.4584+9.4355i
-6.3162-8.9033i
24.72+7.5873i
-1.7087-3.0801i
7.2814-33.506i
-12.818+9.1479i
11.162-3.7101i
-8.9553-1.1402i
6.0495+2.5753i
-5.2715-0.69431i
7.3823-0.62774i
-8.5808+3.9305i
10.497-9.2994i
-2.1904+29.17i
-0.33085+2.5928i
-22.119-2.7614i
10.292+9.1029i
-11.972-9.8131i
22.586+2.5833i
-0.2463-2.5088i
-14.206-25.468i
-8.8943+9.2936i
8.5917-3.8278i
-7.8604+0.90727i
5.2243+0.89445i
-4.3339+0.2439i
5.4335-2.6843i
-3.9443+5.9061i
1.9039-8.9423i
19.143+10.265i
7.0049+2.3552i
-13.925+3.7844i
3.9238+0.51883i
-9.9685-2.0465i
18.768-3.8262i
-2.2206-4.2352i
-8.6909-16.227i
-1.8351+8.4498i
4.1825-6.9282i
-6.2818+3.2624i
4.2933-0.36963i
-2.994+1.816i
2.4884-3.5051i
-0.77814+4.6028i
-1.5768-4.7872i
10.869+1.8854i
2.0956+0.93492i
-8.023+7.2037i
3.2198-3.2933i
-0.83294+3.811i
8.3902-6.7567i
-2.0607-0.7888i
-11.382-1.7843i
1.0306+4.9816i
0.50898-4.0888i
-2.289+3.3567i
2.5616-1.4983i
-0.86609+1.0079i
0.54476-1.4873i
0.44947+1.0164i
-0.14237-0.30024i
-2.064-0.28013i
-0.23625-3.4259i
5.7972+5.624i
-1.3626-3.7631i
1.3033+2.2487i
-3.5383-3.0726i
0.12662+4.1351i
1.4247+0.3589i
0.45783+0.20385i
-0.27616-1.4691i
-0.55088+1.4244i
0.68258-1.066i
-1.1001+0.17311i
0.37958-0.91245i
-0.20366+0.34812i
1.094-1.2651i
0.81042+2.8096i
-1.5623-0.20284i
0.63332-1.4588i
-1.7307-0.4919i
1.7608+0.83173i
-0.69467+1.2292i
1.9479+0.020411i
-0.61257-2.6179i
-0.99095+0.99978i
0.0016234-0.60138i
-0.52278+0.90994i
0.81718-0.10347i
-0.19578+1.7549i
-0.54691-1.0438i
0.40043+1.0605i
-1.6336-0.98222i
1.2656-1.1984i
0.40012+0.42883i
0.10125+0.46562i
0.024068+1.0948i
0.10512-1.2553i
-0.14038-0.32959i
-0.52581-0.48206i
-1.5363+1.4563i
