-0.27558-0.055488i
0.16735+0.017723i
0.078675+0.29369i
-0.43718+0.29617i
-0.7593-0.068662i
-0.78948-0.47982i
-0.70348-0.76949i
-0.33739-0.69193i
-0.30142-0.70904i
-0.69535-0.75395i
-0.7578-0.42323i
-0.72116-0.038455i
-0.3714+0.29462i
0.16661+0.22902i
0.20204-0.036803i
-0.42703+0.0064431i
-0.7205-0.32807i
0.043168+0.0070975i
-0.42084+0.065059i
0.057802-0.89193i
0.97227-0.78488i
1.6468-0.26434i
2.2664+0.21877i
1.2697+0.60141i
1.2681+0.54928i
1.7109-0.16961i
1.3937-0.37065i
0.96694-0.72021i
-0.053866-0.98061i
-0.40515+0.13311i
0.18145+0.14631i
-0.39843-0.56841i
0.49099-0.93498i
-0.14604+0.43918i
-0.11975-0.62486i
1.0081+0.43097i
-0.4383+1.5158i
-1.175+0.93849i
-1.3141+1.2146i
-1.507+0.25264i
-1.468+0.28608i
-0.95075+1.2961i
-1.0527+0.97378i
-0.33191+1.4297i
0.79271+0.45217i
-0.065537-0.5312i
-0.17146+0.45735i
0.75482-0.35727i
1.1178+0.22375i
-0.85132+0.015808i
0.57325-0.71381i
-0.23593+0.62448i
0.87278-0.92199i
3.4193-0.83469i
2.7027+0.90292i
2.2637+2.4157i
3.4361+1.347i
2.4513+1.4536i
3.4346+0.08028i
0.24023-1.0856i
-0.42389+0.59317i
0.55992-0.54313i
-0.95198+0.20666i
0.81567+0.71717i
1.0788+1.272i
-0.58823-0.27373i
0.27605+0.040614i
0.20073-0.42351i
3.7087+7.7789i
-0.1678+25.543i
-11.243+21.876i
-18.266+19.56i
-18.422+19.221i
-10.853+22.346i
-0.11697+25.626i
3.8287+7.2365i
0.20704-0.45368i
0.30026+0.067856i
-0.6499-0.24472i
0.69229+1.1532i
0.11244+1.7847i
-0.81166-0.84679i
-0.54464-0.18642i
1.7402-2.3555i
-0.95211+17.867i
-32.453+41.687i
-45.033+19.443i
-52.019+7.0553i
-52.759+7.5436i
-44.411+19.64i
-32.923+41.832i
-0.68538+17.56i
2.0906-2.4324i
-0.55351-0.28223i
-0.78153-0.69066i
-0.15503+2.3679i
-1.2414+3.1927i
-0.46847-1.3937i
-0.034997-0.071167i
2.5377-1.1042i
-13.672+21.303i
-65.882+31.957i
-68.111-5.5221i
-71.26-24.226i
-71.043-24.29i
-67.775-6.0747i
-66.155+31.494i
-13.039+21.287i
2.9421-2.0357i
-0.25764-0.014616i
-0.47691-1.6051i
-1.0545+2.2061i
-0.42823+1.9903i
-0.7734-1.1475i
-0.37136-0.73557i
4.2695-0.55545i
-20.854+20.34i
-82.209+17.142i
-73.949-24.392i
-75.175-46.332i
-75.425-46.537i
-73.217-25.154i
-82.001+16.734i
-20.382+20.385i
3.7726-0.35946i
-0.41293-0.80559i
-0.61394-1.3985i
-0.56691+1.9492i
-0.65064+2.6944i
-0.60052-1.1415i
-1.1602-0.49961i
3.8346-0.25162i
-21.446+20.041i
-82.943+17.322i
-74.048-24.458i
-75.61-46.327i
-75.373-46.868i
-73.979-24.428i
-82.485+17.003i
-21.084+20.134i
3.4949-2.2358i
-0.38438-0.89695i
-0.82124-1.1253i
-0.75748+2.0824i
-1.152+1.6426i
-0.38489-1.4238i
-0.14632-0.10767i
2.8538-1.8886i
-12.035+21.481i
-66.283+32.152i
-67.89-5.8213i
-71.315-24.309i
-72.078-24.079i
-67.714-5.7645i
-65.696+31.547i
-14.803+21.304i
2.924-0.91436i
0.033697-0.0081127i
-0.072582-1.783i
-1.3221+2.4543i
0.029825+2.5798i
-0.77904-0.67242i
-0.58822-0.2316i
1.8477-2.0684i
-1.1316+17.998i
-33.091+41.809i
-44.72+18.755i
-52.547+7.3914i
-52.135+7.0951i
-44.166+19.257i
-32.586+41.253i
-2.2407+18.607i
1.3822-2.3926i
-0.48702-0.16076i
-0.78315-0.55992i
-0.17437+2.2246i
1.7215+0.97913i
-0.67379-0.27033i
0.31541+0.13148i
0.19337-0.57218i
4.1152+6.9277i
-0.34425+25.7i
-11.293+21.531i
-17.868+19.002i
-18.731+19.235i
-11.069+21.983i
0.26474+25.715i
3.7527+7.3652i
0.095296-0.63057i
0.056565-0.029011i
-0.77707-0.42769i
0.63728+1.0727i
0.85095+0.55537i
-0.79202+0.1128i
0.4774-0.67822i
-0.15026+0.71185i
0.35231-1.4443i
3.7913-0.047525i
2.5375+0.99049i
2.2326+2.0327i
2.2734+2.1463i
1.8227+1.9013i
3.3596-0.40644i
0.28055-1.5777i
-0.43503+0.51255i
0.45936-0.50535i
-0.8305+0.17638i
0.98784+0.72444i
0.70513-0.25967i
-0.055997+0.46753i
-0.14986-0.48686i
1.215+0.32987i
-0.35161+1.4072i
-1.0368+0.98579i
-0.99189+1.0999i
-1.5201+0.35196i
-1.4644+0.42181i
-0.90694+1.3085i
-1.2541+0.97007i
-0.48592+1.2943i
0.70769+0.3596i
-0.072135-0.30283i
-0.086809+0.46631i
1.1367-0.35019i
-0.20617-0.51164i
0.13204+0.13533i
-0.57059+0.095395i
-0.028502-0.92711i
0.97975-0.69939i
1.4376-0.32851i
1.9534-0.21647i
1.3179+0.52552i
1.344+0.48256i
1.7751-0.19377i
1.4542-0.30702i
1.0906-0.58799i
