-0.85126+0.13222i
0.13406-0.29768i
0.042296-0.12789i
0.2596-0.34617i
0.33835+0.30463i
-0.053129-0.0014741i
0.27889-0.056165i
0.043046+0.06341i
-0.074452-0.13387i
-0.27087+0.055164i
-0.098848+0.049178i
-0.53012-0.30198i
-0.42762+0.37853i
0.0077861+0.17235i
-0.20951-0.011735i
0.96736-0.20144i
-0.68284-0.83248i
0.49285+0.12466i
0.03485+0.22179i
0.50978+0.29857i
-0.41691+0.76078i
-0.23722-0.044015i
-0.10139-0.053877i
-0.34644-0.24097i
0.21273+0.20077i
0.11916-0.14428i
0.36885-0.096409i
0.37467-0.80135i
-0.46812-0.30177i
-0.0071803-0.23963i
-0.47223-0.059524i
0.48491+0.77657i
0.51048-0.90204i
0.23142+0.72249i
-0.38718+0.11677i
-0.16009+0.48202i
-1.19-0.77285i
0.10887-0.62173i
0.3302+0.05509i
0.65783-0.30778i
-0.44676+0.31115i
-0.19334-0.038423i
-0.10236+0.69999i
1.2159+0.67348i
0.44688-0.53353i
0.26323-0.053012i
-0.26095-0.61249i
-0.55482+0.79329i
1.186-0.23266i
-0.40808+0.94113i
-0.5417-0.49044i
-0.30589+0.079947i
-0.40123-1.7109i
1.3258-0.61351i
0.22885+1.6452i
0.073288+0.57519i
-0.40224-0.55008i
-0.60501-1.8096i
-1.1472+0.66085i
0.31987+1.4093i
0.44087-0.074543i
0.52599+0.38695i
0.39826-0.87209i
-1.1195+0.10688i
0.9305+0.69183i
-0.73499+0.38178i
-0.66667-0.85157i
0.68414-0.49412i
-0.55065-0.29274i
0.61615-1.7308i
2.0187+3.1278i
-0.25828-1.1984i
0.67053+1.3951i
-1.6316-3.3123i
-0.56465+1.3943i
0.48181+0.38051i
-0.71521+0.53881i
0.73274+0.67814i
0.63606-0.58888i
-0.79358-0.52287i
0.18404+0.87593i
-0.21343+0.12739i
-0.67719-0.37858i
0.82737-1.1882i
1.1661+0.73259i
-0.70293-1.2683i
3.8281-0.43111i
2.7049-0.13889i
-2.5601+0.29248i
-3.4149+0.27841i
0.67636+1.2705i
-0.45171-0.68605i
-1.1446+1.0464i
0.72178+0.36122i
0.26301-0.064734i
-0.097632-0.77886i
-0.17108+0.84574i
-0.34329-0.54494i
0.047237-0.15933i
0.25066-0.58678i
-0.033424+0.63723i
-0.1691-1.6873i
2.6528+0.86458i
2.4889+1.6175i
-2.3611-1.9152i
-3.2266-0.57461i
-0.14835+1.8946i
-0.97668-0.66954i
-0.41404+0.66067i
0.13158+0.063452i
0.35248+0.51135i
0.05225-0.8575i
-0.052367+0.54407i
-0.25035-0.43667i
0.31152-0.025503i
0.29712+0.097803i
0.050012+0.098819i
0.59216-1.0054i
0.64216+0.25255i
0.53044+1.2138i
-0.59222-1.2031i
-1.1611-0.8165i
-0.20325+1.1826i
0.32395-0.037066i
-0.088028-0.1654i
-0.4135+0.010846i
0.41205+0.61426i
0.045641-0.49233i
-0.011202-0.55426i
0.41757+0.44022i
-0.29498+0.15935i
-0.082288-0.54568i
-0.12375+0.1181i
0.05074+1.1733i
-1.1604-0.16167i
-0.26819-1.0128i
0.63871+0.94938i
1.0744+0.30355i
0.43753-1.2284i
0.31513+0.12202i
0.027219-0.27817i
0.51739+0.21307i
-0.21203-0.29928i
-0.045576+0.45944i
0.04421-0.82161i
0.34607+0.35058i
0.0031482+0.14172i
-0.2388+0.30568i
-1.1979-1.3994i
-0.028119+1.8939i
-2.8419-0.64818i
-1.87-1.7035i
2.0058+1.6518i
2.9965+0.31747i
0.046236-1.9126i
0.16948+0.50631i
0.55517-0.45681i
-0.026775+0.26635i
-0.40359-0.39278i
-0.026436+0.79095i
-0.11116-0.72985i
0.22148+0.11098i
0.90832+0.40575i
-1.2521+0.72047i
-0.534-1.0397i
0.88928+1.5727i
-3.5016+0.0070437i
-3.0728+0.33527i
2.2072-0.2495i
3.3938-0.46255i
-0.97286-1.5385i
0.38632+0.62204i
1.1978-0.77569i
-0.71506-0.26822i
-0.1818+0.028036i
0.11883+0.72233i
-0.94719-0.57851i
0.67448-0.44291i
0.61429+0.77171i
-0.72016+0.45067i
0.56975+1.0878i
-0.59165+1.9177i
-1.8995-2.7513i
0.21345+1.1449i
-0.3529-0.83643i
1.819+2.8284i
0.84333-1.5569i
-0.64906-0.32244i
1.0025-0.37007i
-0.67008-0.65i
-0.79938+0.56247i
0.79791+0.6089i
-1.1332+0.15107i
0.40602-0.88094i
0.5235+0.45956i
0.15084-0.11924i
0.41691+1.7353i
-1.4978+0.31957i
-0.29656-2.0841i
-0.60033-0.86553i
0.35681+0.5231i
0.26105+2.1981i
1.3175-1.3598i
-0.29359-2.1571i
-0.34514+0.028067i
-0.55093-0.37016i
-0.36426+0.90323i
1.1251-0.11323i
-0.53257+0.85511i
-0.20023-0.68134i
0.31495-0.12789i
0.46689-0.49857i
1.2071+0.642i
-0.1073+0.67489i
-0.077855-0.025214i
-0.6772+0.34654i
0.67284-0.42644i
0.063283+0.17289i
0.27794-0.80935i
-1.3845-0.6579i
-0.45341+0.52656i
-0.23246+0.15879i
0.29438+0.69613i
0.5141-0.84215i
0.53339+0.81617i
-0.58552-0.058986i
0.01827-0.17105i
-0.41829-0.35579i
0.4648-0.81343i
0.24719+0.051431i
0.045475-0.1255i
0.21118+0.26484i
-0.19558-0.16191i
-0.07106+0.13892i
-0.1445-7.1454e-05i
-0.31591+0.89474i
0.44209+0.27633i
-0.030365+0.12094i
0.52805+0.072534i
-0.57422-0.84657i
0.93166-0.064101i
-0.19696+0.1936i
0.020213+0.092328i
-0.26254+0.43729i
-0.40817-0.37426i
-0.093765-0.048765i
-0.21838+0.35265i
0.050814+0.071868i
0.041371+0.13391i
0.34979+0.14744i
0.10119+0.073502i
0.37534+0.31888i
0.25392-0.41658i
-0.146+0.082914i
0.22004-0.27333i
-1.1592+0.1107i
